cd_name,cd_number,borough,fp_100_area,fp_500_area,fp_100_bldg,fp_500_bldg,fp_100_cost_burden,fp_500_cost_burden,fp_100_cost_burden_value,fp_500_cost_burden_value,fp_100_mhhi,fp_500_mhhi,fp_100_mortg_value,fp_500_mortg_value,fp_100_openspace,fp_500_openspace,fp_100_ownerocc,fp_500_ownerocc,fp_100_ownerocc_value,fp_500_ownerocc_value,fp_100_permortg,fp_500_permortg,fp_100_pop_2010,fp_500_pop_2010,fp_100_rent_burden,fp_500_rent_burden,fp_100_rent_burden_value,fp_500_rent_burden_value,fp_100_resunits,fp_500_resunits
Brooklyn Community District 9,309,Brooklyn,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0
Brooklyn Community District 10,310,Brooklyn,1.05,1.10,135,151,29.1,29.1,973.0,973.0,76255.0,76255.0,1742.0,1742.0,0.720,0.770,39.9,39.9,3338.0,3338.0,52.2,52.2,0.0,12.0,45.6,45.6,1841.0,1841.0,0,249
Brooklyn Community District 11,311,Brooklyn,0.20,0.20,1252,2764,46.6,45.2,1524.0,1775.0,56345.0,54121.0,1772.0,2010.0,0.054,0.042,39.9,36.1,3272.0,3924.0,54.2,51.2,5068.0,16323.0,53.1,52.9,2455.0,3417.0,3134,7958
Brooklyn Community District 12,312,Brooklyn,0,0.00,0,2,,,,,,,,,0,0,,,,,,,,,,,,,0,1
Brooklyn Community District 13,313,Brooklyn,1.66,1.38,7580,5259,31.6,32.7,4024.0,4434.0,38164.0,37989.0,5531.0,6008.0,1.016,0.936,27.4,26.9,12728.0,13577.0,43.5,44.3,84613.0,103452.0,57.1,57.2,17031.0,18756.0,44812,29091
Brooklyn Community District 14,314,Brooklyn,0.00,0.00,2,2,,,,,,,,,0,0,,,,,,,,,,,,,1,0
Brooklyn Community District 15,315,Brooklyn,0.49,0.47,8841,14125,34.2,33.9,3580.0,7219.0,66256.0,62401.0,5278.0,10220.0,0.091,0.086,48.2,47.3,10461.0,21294.0,50.5,48.0,36291.0,82392.0,51.0,51.6,4739.0,10540.0,22369,34398
Brooklyn Community District 16,316,Brooklyn,0,0.01,0,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0
Brooklyn Community District 17,317,Brooklyn,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0
Brooklyn Community District 18,318,Brooklyn,2.88,3.31,8690,16218,48.5,46.2,6380.0,10696.0,79843.0,74851.0,9649.0,17032.0,1.577,1.731,58.4,53.4,13157.0,23174.0,73.3,73.5,30892.0,77004.0,51.1,48.8,3960.0,8521.0,14568,26780
Manhattan Community District 1,101,Manhattan,0.85,0.55,649,746,28.3,28.3,1603.0,1968.0,178707.0,178430.0,3775.0,4481.0,0.048,0.040,20.2,21.7,5664.0,6959.0,66.6,64.4,16733.0,29865.0,31.9,31.7,5481.0,6163.0,19758,22299
Manhattan Community District 2,102,Manhattan,0.21,0.02,354,654,25.7,25.5,638.0,902.0,149113.0,135020.0,1346.0,1931.0,0.001,0.002,33.2,32.1,2482.0,3537.0,54.2,54.6,5038.0,10198.0,33.9,39.7,1234.0,2164.0,4673,7480
Manhattan Community District 3,103,Manhattan,0.35,0.25,513,794,16.5,17.2,343.0,493.0,27269.0,29793.0,749.0,1147.0,0.123,0.064,10.0,9.9,2076.0,2859.0,36.1,40.1,32294.0,47273.0,48.1,47.5,8547.0,11735.0,21115,27387
Manhattan Community District 4,104,Manhattan,0.49,0.16,377,477,26.0,24.5,429.0,503.0,112455.0,107978.0,852.0,1125.0,0.007,0.016,8.5,9.3,1652.0,2049.0,51.6,54.9,2957.0,9609.0,40.9,42.1,5996.0,6944.0,9440,14347
Manhattan Community District 5,105,Manhattan,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0
Manhattan Community District 6,106,Manhattan,0.29,0.20,172,178,17.5,17.0,294.0,340.0,126784.0,119382.0,658.0,823.0,0.017,0.004,14.6,13.0,1683.0,1997.0,39.1,41.2,9455.0,14820.0,43.1,45.5,3636.0,5233.0,18429,17435
Manhattan Community District 7,107,Manhattan,1.08,0.36,15,18,18.2,18.8,631.0,654.0,130809.0,133462.0,1865.0,1865.0,0.196,0.295,31.3,29.4,3458.0,3481.0,53.9,53.6,1436.0,1436.0,42.0,40.5,2439.0,2649.0,1253,511
Manhattan Community District 8,108,Manhattan,0.28,0.25,194,238,29.0,25.1,830.0,894.0,95578.0,98100.0,1505.0,1918.0,0.031,0.024,18.2,20.3,2866.0,3557.0,52.5,53.9,7223.0,10647.0,45.8,45.9,5010.0,5415.0,16030,20092
